;MATRÍCULA;end;LAT;LNG
4242;235316;RUA SANTA CATARINA, 941 - CENTRO BELO HORIZONTE-MG;-19.9289945;-43.9452062
4243;235318;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
4244;235320;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
4245;235324;Rua Alexandre Dumas, 2200 - Chacara Santo Antonio SAO PAULO-SP;-23.6276441;-46.7107246
4246;235326;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
4247;235327;Rua Dona Luiza, 311 - Milionários BELO HORIZONTE-MG;-19.9856661;-44.0064942
4248;235330;AVENIDA ABRAMO RANDON, 770 - 1º ANDAR, 770 - SAINT ETIENNE CAXIAS DO SUL-RS;-29.1471048;-51.1528629
4249;235335;Rua Dona Luiza, 311 - Milionários BELO HORIZONTE-MG;-19.9856661;-44.0064942
4250;235337;Rodovia Hélio Smidt, S/N - Aeroporto GUARULHOS-SP;-23.4305731;-46.473043
4251;235334;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
4252;235336;RUA PROFESSOR ANTONIO PRUDENTE, 211 - LIBERDADE SAO PAULO-SP;-23.5650618;-46.637693
4253;235338;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
4254;235339;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
4255;235340;AVENIDA BRASIL, 263 - VILA MEDON AMERICANA-SP;-22.7454629;-47.3339153
4256;235343;RODOVIA RAPOSO TAVARES - KM 27,2, S/N - GRANJA VIANA COTIA;-23.5961248;-46.87043
4257;235344;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4258;235345;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4259;235347;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4260;235348;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4261;235349;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4262;235350;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4263;235351;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4264;235352;RODOVIA RAPOSO TAVARES - KM 27,2, S/N - GRANJA VIANA COTIA;-23.5961248;-46.87043
4265;235354;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
