;MATRÍCULA;HORÁRIO;Jornada - 5x2;Jornada - 6x1;Jornada - 12x36;Jornada - movel;Jornada - fixo
656;224944;08:30as17:30-5x2-flexivel/fixo;1;0;0;0;1
657;224980;delphi-15:48as00:34-escala5x2-fixo;1;0;0;0;1
660;225010;07:30as17:152aa5a/07:30-15:30-bosch;0;0;0;0;0
661;225013;05:00-14:48-5x2-flexivel/fixo;1;0;0;0;1
664;225031;13:00as21:30/sab12:00as16:00-6x1fixo;0;1;0;0;1
665;225056;06:12-16:00-escala5x2fixo;1;0;0;0;1
674;225471;07:00as15:40/sab07:00as11:00-6x1fixo;0;1;0;0;1
677;225827;05:30as17:30-12x36-movel;0;0;1;1;0
678;225843;08:45-18:302aa5a/09:00-14:15-6aflex/fixo;0;0;0;0;1
680;225863;randon-00:30-07:12/02:12-07:12/02:12-12:456x1;0;1;0;0;0
684;225991;delphi-13:00as21:30/sab12:00as16:00-6x1fixo;0;1;0;0;1
688;226375;novozymes-07:45as17:30-5x2-flex/fixo;1;0;0;0;1
694;226750;randon00:00-06:00/00:10-06:00/00:10-08:356x1fix;0;1;0;0;1
699;227004;13:40as22:00/10:00as18:20-flex/f-megapolo;0;0;0;0;0
701;227123;ingredionsp-00:00as08:005x1movel;0;0;0;1;0
703;227128;ingredionsp-16:00as00:005x1movel;0;0;0;1;0
705;227130;07:30as17:00-5x2-movel;1;0;0;1;0
706;227176;ingredionsp-16:00as01:20-escala5x2-fixo;1;0;0;0;1
712;227510;07:00as16:00/07:00as11:00-6x1-f/f;0;1;0;0;0
713;227513;ingredionrj-22:00-06:00/18:00-22:00-6x1-f/f;0;1;0;0;0
714;227522;13:40as22:00-6x1-flexivel/movel;0;1;0;1;0
724;228173;13:00-19:00-(6x1)flexivel/movel;0;1;0;1;0
725;228177;18:00-24:00-(6x1)-movel;0;1;0;1;0
726;228192;07:00-13:00-(6x1)flexivel/movel;0;1;0;1;0
731;228589;14:20as22:50-5x2-fixo;1;0;0;0;1
737;228805;delphi-11:30as21:18-escala5x2fixo;1;0;0;0;1
738;229054;airliquiderj-07:45as17:15-5x2-fixo;1;0;0;0;1
740;229293;14:40-22:52-(6x1)-flexivel/movel;0;1;0;1;0
753;230463;07has16h/sab07has11h-6x1-flex/movel;0;1;0;1;0
758;230784;13:00as17:00-escala5x2fixo-aprendiz;1;0;0;0;1
762;231079;08:00as12:00-escala5x2fixo-aprendiz;1;0;0;0;1
767;231357;09:00-15:00-escala5x2fxo;1;0;0;0;0
770;231508;22:28as06:16-rfef01:12-6x2-movel;0;0;0;1;0
771;231509;14:16as22:42-ref1:12-movel-6x2;0;0;0;1;0
772;231510;06:00as14:30-escala6x2movel-ref01:12;0;0;0;1;0
774;231564;12:00-21:002aa6a/sab.10:00as14:00-flexm;0;0;0;0;0
777;231740;13:00as22:00-escalaespanhola-petronas-f/m;0;0;0;0;0
779;231747;06:00as15:00-escalaespanhola-petronas-f/m;0;0;0;0;0
780;231826;12:00as21:00-escalaespanhola-petronas-f/m;0;0;0;0;0
786;232787;10:00as16:00-escala5x2fixo-aprendizes;1;0;0;0;1
787;232927;07:00as16:00-escalaespanhola-petronas-flex;0;0;0;0;0
790;233348;14:00as18:00-5x2-fixo-aprendiz;1;0;0;0;1
792;233614;11:00as17:00-escala5x2fixo-aprendiz;1;0;0;0;1
793;233615;07:00as13:00-escala5x2fixo-aprendiz;1;0;0;0;1
794;233616;08:00as14:00-escala5x2fixo-aprendizes;1;0;0;0;1
796;233862;07:00as16:09-2aa5a/07:00as15:24-6a-furukawa;0;0;0;0;0
797;234266;06:30-15:30seg/sex/08:00-17:00sab-espanhola;0;0;0;0;0
799;234530;airliquiderj-07:45as17:15-5x2-movel;1;0;0;1;0
802;234714;14:00as23:27-5x2-fixo;1;0;0;0;1
803;234785;delphi-21:00as05:28/22:00as04:40-6x1fixo;0;1;0;0;1
805;234984;08:00as17:30-2aa5a/08as13:00-6a-isento;0;0;0;0;0
806;235042;06:00as18:00-12x36-bombfolguista-boschcamp;0;0;1;0;0
807;235217;06has15h/sab.08has12hflex/movel-6x1;0;1;0;1;0
808;235358;07:00as16:48-5x2-dupont;1;0;0;0;0
809;235410;12:00as22:00segaqui12:00as21:00sex5x2fm;1;0;0;0;0
810;235466;08:40as17:00-6x1-fixo;0;1;0;0;1
812;235654;13:40as21:002aa6a/9:00as17:20-sab-fixo;0;0;0;0;1
813;235767;06:00as15:00-escalaespanhola-petronas;0;0;0;0;0
817;235874;05:30as14:302aa6a/08has12h-sab-ons-rj;0;0;0;0;0
818;235981;09:30as18:302aa6a/08has12h-sab-ons-rj;0;0;0;0;0
819;236130;05:40-14:302aa6a/05:40-11:35sabboschsorocaba;0;0;0;0;0
820;236138;21h50as05h50-6x2-boschsorocaba;0;0;0;0;0
822;236141;05:50as13:50-6x2-boschsorocaba;0;0;0;0;0
824;236153;14h30-22:572aa6a/11h20-17h15sab-boschsoroc;0;0;0;0;0
825;236156;13:50as21:50-6x2-boschsorocaba;0;0;0;0;0
826;236323;delphi-21:00as04:32/22:00as05:296x1;0;1;0;0;0
827;236357;07:00as13:00-5x2-aprendizes;1;0;0;0;0
829;236494;08:00as16:00-6x2-ingredion;0;0;0;0;0
830;236497;00:00as08:00-6x2-ingredion;0;0;0;0;0
831;236498;16:00as00:00-6x2-movel-ingredion;0;0;0;1;0
832;236531;22:0006:00-6x1-fixo-ingredion;0;1;0;0;1
833;236635;ingredion-6x1-logistica;0;1;0;0;0
834;236637;ingredion-6x2;0;0;0;0;0
835;236718;12:40as21:002aa6a/09:00as17:20-sab-flex;0;0;0;0;0
836;236736;08:00as16:00-6x1-fixo-ingredion;0;1;0;0;1
837;236737;16:00as00:00-6x1-fixoingredion;0;1;0;0;1
838;236796;07:30as11:30-escala5x2-aprendiz;1;0;0;0;0
