NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
226732;2018-04-11;Auxiliar de Manutenção Geral;2020-01-02;Pedido
229356;2018-11-21;Aprendiz;2020-02-20;Termino de Contrato
229321;2018-11-21;Pintor;2020-01-21;Demissão
230523;2019-03-15;Eletricista;2020-01-03;Pedido
225952;2018-01-12;Telhadista;2020-01-17;Demissão
233366;2020-02-21;Oficial de Manutenção;2020-04-09;Demissão Antec. Contrato Experiência
229360;2018-11-23;Aprendiz;2020-03-21;Termino de Contrato
213164;2014-06-03;Eletricista;2020-05-19;Demissão
221151;2016-09-19;Auxiliar de Manutenção Elétrica;2020-05-16;Demissão
212760;2014-04-02;Eletricista;2020-04-03;Pedido
231839;2019-08-02;Auxiliar de Manutenção Geral;2020-01-07;Pedido
226590;2018-03-22;Supervisor de Serviços B;2020-02-17;Pedido
222006;2016-12-12;Assistente Administrativo;2020-03-09;Pedido
217513;2015-11-16;Mecânico de Refrigeração;2020-05-12;Demissão
227005;2018-05-17;Mecânico de Refrigeração;2020-04-01;Pedido
220997;2016-09-01;Auxiliar Administrativo B;2020-05-13;Demissão
223314;2017-04-24;Hidráulico;2020-03-19;Demissão
233589;2020-03-06;Pintor;2020-04-17;Demissão Antec. Contrato Experiência
223443;2017-05-03;Oficial de Manutenção;2020-05-13;Demissão
233650;2020-03-11;Auxiliar de Manutenção Geral;2020-04-16;Demissão Antec. Contrato Experiência
233551;2020-03-04;Supervisor Técnico;2020-05-20;Demissão Antec. Contrato Experiência
231087;2019-05-06;Supervisor de Serviços B;2020-02-14;Pedido
231980;2019-08-05;Supervisor de Serviços A;2020-01-02;Pedido
221033;2016-09-06;Auxiliar de Manutenção Mecânica;2020-03-03;Pedido
230967;2019-04-18;Eletricista;2020-03-02;Pedido
220270;2016-06-03;Eletricista;2020-01-14;Pedido
232480;2019-09-26;Auxiliar de Manutenção Geral;2020-03-06;Demissão
226813;2018-04-24;Oficial de Manutenção;2020-03-04;Demissão
226371;2018-02-23;Operador de Central;2020-01-10;Demissão
228709;2018-09-25;Operador de Central;2020-01-11;Demissão
228818;2018-10-09;Eletricista;2020-04-23;Pedido
231299;2019-05-24;Oficial de Manutenção;2020-02-17;Demissão
233113;2020-01-21;Auxiliar de Manutenção Mecânica;2020-04-16;Demissão Antec. Contrato Experiência
223319;2017-04-24;Auxiliar Administrativo A;2020-03-02;Pedido
222271;2017-01-11;Supervisor Técnico;2020-02-07;Pedido
223285;2017-04-18;Supervisor Técnico;2020-01-17;Demissão
233252;2020-02-06;Almoxarife;2020-03-20;Demissão Antec. Contrato Experiência
105600;2011-02-11;Auxiliar Administrativo A;2020-04-20;Pedido
220992;2016-09-01;Recepcionista A;2020-01-07;Pedido
219164;2016-03-03;Eletromecânico;2020-01-22;Demissão
229743;2018-12-19;Mecânico de Refrigeração;2020-02-19;Pedido
222161;2016-12-26;Eletricista;2020-03-05;Demissão
222153;2016-12-22;Eletricista;2020-03-05;Demissão
232763;2019-11-13;Oficial de Manutenção;2020-02-05;Pedido antecipado do contrato experiência
232715;2019-11-07;Oficial de Manutenção;2020-03-02;Pedido
233114;2020-01-21;Supervisor de Elétrica;2020-04-16;Demissão Antec. Contrato Experiência
225860;2018-01-02;Oficial de Manutenção;2020-03-05;Demissão
217172;2015-10-20;Artífice;2020-01-27;Demissão
233320;2020-02-13;Pintor;2020-03-24;Demissão Antec. Contrato Experiência
219593;2016-03-24;Encarregado de Serviços B;2020-01-14;Demissão
221136;2016-09-15;Auxiliar de Manutenção Elétrica;2020-02-14;Demissão
231078;2019-05-06;Eletricista;2020-02-14;Demissão
228616;2018-09-13;Eletricista;2020-02-14;Demissão
230047;2019-01-25;Encarregado Técnico;2020-02-14;Demissão
232636;2019-10-23;Eletricista;2020-02-14;Demissão
233250;2020-02-05;Eletricista;2020-03-20;Termino de Contrato
230893;2019-04-11;Auxiliar Administrativo B;2020-03-31;Pedido
233268;2020-02-06;Bombeiro Civil;2020-03-25;Demissão Antec. Contrato Experiência
230801;2019-04-03;Eletricista;2020-03-02;Demissão
228242;2018-08-15;Auxiliar Administrativo B;2020-03-09;Demissão
232637;2019-10-24;Mecânico de Refrigeração;2020-01-21;Termino de Contrato
231783;2019-07-26;Bombeiro Civil;2020-01-05;Demissão
233040;2020-01-06;Operador de Utilidades B;2020-04-01;Demissão Antec. Contrato Experiência
218932;2016-02-22;Operador de Utilidades A;2020-05-07;Demissão
222459;2017-02-01;Operador de Utilidades B;2020-04-01;Demissão
220892;2016-08-17;Operador de Utilidades A;2020-05-06;Demissão
216682;2015-07-22;Operador de Utilidades A;2020-05-07;Demissão
216680;2015-07-22;Operador de Utilidades B;2020-05-06;Demissão
229892;2019-01-10;Operador de Utilidades B;2020-05-07;Demissão
222142;2016-12-21;Operador de Utilidades B;2020-05-07;Demissão
222460;2017-02-01;Operador de Utilidades A;2020-05-07;Demissão
228591;2018-09-11;Mecânico de Refrigeração;2020-03-19;Pedido
233554;2020-03-04;Oficial de Manutenção;2020-03-20;Demissão Antec. Contrato Experiência
225178;2017-10-11;Oficial de Manutenção;2020-02-04;Demissão
232986;2019-12-16;Mecânico de Refrigeração;2020-03-16;Pedido
215834;2015-04-06;Bombeiro Civil;2020-01-20;Demissão
224425;2017-08-07;Eletricista Industrial;2020-05-12;Demissão
229363;2018-11-23;Aprendiz;2020-03-21;Termino de Contrato
230313;2019-02-21;Mecânico de Manutenção;2020-01-27;Pedido
228719;2018-09-25;Eletricista;2020-01-10;Demissão
230182;2019-02-06;Eletricista;2020-02-11;Demissão
229385;2018-11-27;Eletricista;2020-01-10;Demissão
229719;2018-12-17;Eletricista;2020-01-10;Demissão
233464;2020-03-03;Hidráulico Industrial;2020-04-14;Demissão Antec. Contrato Experiência
228720;2018-09-25;Pintor;2020-01-10;Demissão
224747;2017-09-06;Hidráulico Industrial;2020-01-10;Demissão
227318;2018-06-19;Recepcionista B;2020-04-13;Pedido
228714;2018-09-26;Recepcionista B;2020-03-06;Pedido
