NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
229680;2018-12-14;Auxiliar de Limpeza / Banheirista;2020-03-18;Demissão
229127;2018-11-05;Aprendiz - Área Administrativa;2020-02-05;Termino de Contrato
229392;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
229394;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
229122;2018-11-05;Aprendiz - Área Administrativa;2020-02-05;Termino de Contrato
229120;2018-11-05;Aprendiz - Área Administrativa;2020-01-21;Pedido
229395;2018-11-27;Aprendiz - Área Administrativa;2020-02-25;Termino de Contrato
230740;2019-04-02;Auxiliar de Limpeza B;2020-03-24;Justa Causa
231086;2019-05-06;Auxiliar de Limpeza B;2020-02-05;Demissão
229562;2018-12-18;Auxiliar de Limpeza B;2020-02-05;Demissão
229888;2019-01-09;Copeira;2020-02-12;Demissão
229576;2018-12-18;Operador de Roçadeira;2020-02-05;Demissão
229497;2018-12-10;Recepcionista B;2020-03-04;Demissão
231565;2019-07-03;Jardineiro;2020-03-10;Demissão
233020;2020-01-08;Auxiliar de Limpeza B;2020-02-14;Demissão Antec. Contrato Experiência
230369;2019-02-26;Operador de Roçadeira;2020-05-02;Demissão
230712;2019-04-01;Operador de Roçadeira;2020-05-02;Demissão
230713;2019-04-01;Auxiliar de Limpeza B;2020-05-02;Demissão
230358;2019-02-26;Operador de Roçadeira;2020-05-02;Demissão
231657;2019-07-11;Auxiliar de Limpeza B;2020-01-13;Justa Causa
231820;2019-08-05;Jardineiro;2020-03-04;Pedido
231828;2019-08-05;Auxiliar de Limpeza B;2020-05-05;Demissão
231823;2019-08-05;Encarregado de Serviços A;2020-04-27;Pedido
232240;2019-08-28;Porteiro;2020-03-05;Demissão
232239;2019-08-28;Porteiro;2020-01-16;Pedido
232264;2019-08-31;Líder de Portaria;2020-01-10;Pedido
232241;2019-08-28;Porteiro;2020-03-04;Demissão
232236;2019-08-28;Recepcionista B;2020-03-04;Demissão
232837;2019-12-02;Manobrista;2020-05-05;Demissão
232294;2019-08-31;Porteiro;2020-03-05;Pedido
232305;2019-08-31;Recepcionista B;2020-03-11;Pedido
232292;2019-08-31;Porteiro;2020-01-24;Pedido
233897;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233903;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233352;2020-02-21;Encarregado de Serviços B;2020-05-15;Demissão Antec. Contrato Experiência
233886;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233895;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233893;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233806;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233889;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233902;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233813;2020-03-24;Auxiliar de Limpeza B;2020-05-06;Demissão Antec. Contrato Experiência
233770;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233779;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233772;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233896;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233857;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233789;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233790;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233907;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233884;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233856;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233881;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233905;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233890;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233777;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233362;2020-02-21;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233906;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233782;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233797;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233904;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233894;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233791;2020-03-23;Auxiliar de Limpeza B;2020-04-15;Pedido antecipado do contrato experiência
233786;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233795;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233804;2020-03-23;Auxiliar de Limpeza B;2020-04-15;Demissão Antec. Contrato Experiência
233883;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233888;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233780;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233882;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233810;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233771;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233879;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233825;2020-03-24;Auxiliar de Limpeza B;2020-05-04;Justa Causa
233800;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233808;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233799;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233892;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233885;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233792;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233899;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233794;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233900;2020-04-02;Auxiliar de Limpeza B;2020-05-11;Pedido antecipado do contrato experiência
233793;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233898;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233769;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233783;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233809;2020-03-23;Auxiliar de Limpeza B;2020-05-06;Termino de Contrato
233887;2020-04-02;Auxiliar de Limpeza B;2020-05-15;Demissão Antec. Contrato Experiência
233026;2020-01-06;Recepcionista B;2020-05-11;Demissão
233196;2020-02-03;Recepcionista B;2020-05-11;Demissão
233199;2020-02-03;Recepcionista B;2020-05-11;Demissão
233195;2020-02-03;Recepcionista B;2020-05-11;Demissão
233202;2020-02-03;Recepcionista A;2020-05-11;Demissão
233354;2020-02-21;Auxiliar de Limpeza B;2020-03-16;Pedido antecipado do contrato experiência
203439;2008-08-01;Copeira;2020-01-02;Demissão
229331;2018-11-22;Auxiliar de Limpeza B;2020-03-02;Demissão
230492;2019-03-13;Técnico de Segurança do Trabalho;2020-01-03;Demissão
232761;2019-11-12;Supervisor Técnico;2020-02-07;Demissão Antec. Contrato Experiência
227547;2018-07-02;Auxiliar de Manutenção Elétrica;2020-04-14;Pedido
228552;2018-09-03;Mecânico de Refrigeração;2020-05-08;Demissão
233232;2020-02-12;Auxiliar de Manutenção Mecânica;2020-03-24;Demissão Antec. Contrato Experiência
222733;2017-03-01;Auxiliar de Manutenção Geral;2020-05-22;Demissão
226257;2018-02-09;Aprendiz;2020-02-10;Termino de Contrato
232605;2019-10-16;Auxiliar de Manutenção Mecânica;2020-03-10;Pedido
233375;2020-02-21;Mecânico de Refrigeração;2020-05-22;Demissão
227757;2018-07-19;Eletricista;2020-05-08;Demissão
221554;2016-11-03;Eletricista;2020-05-11;Demissão
225320;2017-11-03;Operador de Central de Automação;2020-05-08;Demissão
225249;2017-10-23;Operador de Central de Automação;2020-05-11;Demissão
233086;2020-01-13;Auxiliar de Limpeza B;2020-03-11;Justa Causa
221067;2016-09-12;Líder de Limpeza;2020-05-25;Demissão
223811;2017-06-06;Auxiliar de Limpeza B;2020-05-22;Demissão
232667;2019-11-04;Auxiliar de Limpeza B;2020-02-01;Termino de Contrato
229434;2018-12-04;Auxiliar de Limpeza B;2020-01-08;Pedido
231978;2019-08-05;Auxiliar de Limpeza B;2020-05-22;Demissão
231775;2019-07-24;Auxiliar de Limpeza B;2020-01-21;Pedido
230237;2019-02-11;Auxiliar de Limpeza B;2020-02-20;Demissão
225538;2017-11-16;Auxiliar de Limpeza B;2020-02-20;Demissão
225544;2017-11-16;Auxiliar de Limpeza B;2020-02-04;Pedido
223114;2017-03-28;Auxiliar de Limpeza B;2020-02-04;Pedido
218067;2016-01-11;Auxiliar de Limpeza B;2020-02-20;Demissão
225552;2017-11-16;Auxiliar de Limpeza B;2020-02-20;Demissão
227266;2018-06-11;Auxiliar de Limpeza B;2020-02-20;Demissão
225290;2017-11-01;Auxiliar de Limpeza B;2020-02-21;Demissão
230264;2019-02-18;Auxiliar de Limpeza B;2020-02-20;Demissão
230503;2019-03-14;Jardineiro;2020-02-13;Pedido
221748;2016-11-18;Supervisor Técnico;2020-05-22;Demissão
233617;2020-03-09;Supervisor de Serviços B;2020-04-15;Demissão Antec. Contrato Experiência
227824;2018-07-27;Eletricista;2020-05-09;Demissão
229400;2018-11-26;Jardineiro;2020-05-14;Demissão
227424;2018-06-20;Encarregado de Serviços B;2020-01-15;Demissão
225543;2017-11-16;Auxiliar de Limpeza B;2020-02-20;Demissão
227436;2018-06-20;Auxiliar de Limpeza B;2020-05-08;Demissão
230260;2019-02-15;Auxiliar de Limpeza B;2020-05-22;Demissão
231585;2019-07-04;Auxiliar de Manutenção Geral;2020-01-10;Pedido
229938;2019-01-14;Oficial de Manutenção;2020-05-08;Demissão
231992;2019-08-06;Fiscal de Mall;2020-05-09;Demissão
229408;2018-11-26;Fiscal de Mall;2020-05-08;Demissão
232014;2019-08-07;Fiscal de Mall;2020-05-08;Demissão
233119;2020-01-21;Fiscal de Mall;2020-04-15;Demissão Antec. Contrato Experiência
227542;2018-06-27;Fiscal de Mall;2020-05-09;Demissão
232844;2019-12-02;Fiscal de Mall;2020-02-12;Justa Causa
227459;2018-06-20;Bombeiro Civil;2020-05-08;Demissão
229376;2018-11-23;Aprendiz;2020-02-22;Termino de Contrato
228826;2018-10-10;Supervisor de Serviços B;2020-05-06;Demissão
232189;2019-08-22;Mecânico de Refrigeração;2020-01-20;Pedido
233077;2020-01-14;Bombeiro Civil;2020-04-09;Demissão Antec. Contrato Experiência
227799;2018-07-27;Eletricista;2020-03-12;Justa Causa
231987;2019-08-06;Auxiliar de Manutenção Elétrica;2020-05-08;Demissão
233076;2020-01-14;Marceneiro;2020-04-09;Demissão Antec. Contrato Experiência
233311;2020-02-12;Oficial de Manutenção;2020-03-24;Demissão Antec. Contrato Experiência
229378;2018-11-23;Aprendiz;2020-02-22;Termino de Contrato
232766;2019-11-14;Auxiliar de Limpeza B;2020-05-25;Demissão
223354;2017-04-26;Auxiliar de Limpeza B;2020-05-08;Demissão
221660;2016-11-10;Auxiliar de Limpeza B;2020-05-22;Demissão
232463;2019-09-23;Auxiliar de Limpeza B;2020-05-25;Demissão
227552;2018-07-02;Auxiliar de Limpeza B;2020-01-14;Demissão
225321;2017-11-03;Almoxarife;2020-04-30;Demissão
103501;2009-05-20;Gerente de Portfólio;2020-02-13;Pedido
231333;2019-05-28;Auxiliar de Administração de Pessoal;2020-05-15;Demissão
105950;2011-05-01;Analista de Recursos Humanos Pleno;2020-05-05;Demissão
233207;2020-02-04;Pintor;2020-05-02;Demissão Antec. Contrato Experiência
228857;2018-10-15;Auxiliar Administrativo B;2020-03-04;Demissão
233523;2020-03-03;Auxiliar de Manutenção Mecânica;2020-04-03;Demissão Antec. Contrato Experiência
233021;2020-01-06;Auxiliar de Manutenção Mecânica;2020-01-22;Pedido antecipado do contrato experiência
232941;2019-12-12;Auxiliar de Manutenção Mecânica;2020-03-09;Demissão Antec. Contrato Experiência
212879;2014-04-17;Auxiliar de Manutenção Mecânica;2020-03-12;Demissão
232940;2019-12-12;Auxiliar de Manutenção Mecânica;2020-03-09;Demissão Antec. Contrato Experiência
223201;2017-04-06;Auxiliar de Manutenção Geral;2020-04-12;Demissão
233489;2020-03-03;Hidráulico;2020-04-16;Termino de Contrato
233525;2020-03-03;Eletricista;2020-05-08;Demissão Antec. Contrato Experiência
229885;2019-01-10;Auxiliar de Manutenção Mecânica;2020-03-25;Justa Causa
233082;2020-01-13;Auxiliar de Manutenção Elétrica;2020-01-27;Pedido antecipado do contrato experiência
233599;2020-03-06;Eletricista;2020-04-17;Demissão Antec. Contrato Experiência
231115;2019-05-07;Auxiliar de Manutenção Geral;2020-04-03;Pedido
231196;2019-05-14;Auxiliar de Manutenção Geral;2020-04-01;Pedido
233097;2020-01-16;Auxiliar Administrativo B;2020-03-02;Demissão Antec. Contrato Experiência
233172;2020-02-04;Auxiliar de Manutenção Mecânica;2020-05-02;Demissão Antec. Contrato Experiência
233651;2020-03-11;Auxiliar de Manutenção Geral;2020-05-05;Demissão Antec. Contrato Experiência
233539;2020-03-04;Eletromecânico;2020-04-16;Demissão Antec. Contrato Experiência
233541;2020-03-04;Eletricista;2020-05-08;Demissão Antec. Contrato Experiência
233623;2020-03-09;Oficial de Manutenção;2020-05-12;Demissão Antec. Contrato Experiência
233540;2020-03-04;Pintor;2020-05-08;Demissão Antec. Contrato Experiência
231348;2019-05-29;Auxiliar Administrativo A;2020-05-06;Demissão
231282;2019-05-22;Encarregado Técnico;2020-02-11;Demissão
233023;2020-01-02;Coordenador Técnico A;2020-04-08;Pedido
230662;2019-03-26;Mecânico de Refrigeração;2020-03-02;Pedido
230660;2019-03-26;Mecânico de Refrigeração;2020-05-06;Demissão
232696;2019-11-05;Auxiliar de Manutenção Mecânica;2020-02-14;Justa Causa
233277;2020-02-06;Mecânico de Refrigeração;2020-05-04;Pedido antecipado do contrato experiência
230664;2019-03-26;Auxiliar de Manutenção Mecânica;2020-05-08;Demissão
233008;2019-12-18;Auxiliar de Manutenção Mecânica;2020-02-18;Pedido antecipado do contrato experiência
230659;2019-03-26;Mecânico de Refrigeração;2020-04-08;Pedido
231134;2019-05-08;Mecânico de Refrigeração;2020-05-06;Demissão
233005;2019-12-18;Mecânico de Refrigeração;2020-04-01;Pedido
230878;2019-04-09;Auxiliar de Manutenção Mecânica;2020-05-20;Demissão
232683;2019-11-01;Operador de Caldeira;2020-02-28;Pedido
232685;2019-11-01;Mecânico de Manutenção;2020-01-08;Pedido antecipado do contrato experiência
232897;2019-12-09;Eletromecânico;2020-01-14;Pedido antecipado do contrato experiência
232776;2019-11-18;Eletromecânico;2020-01-08;Pedido antecipado do contrato experiência
231538;2019-06-28;Mecânico de Refrigeração;2020-01-13;Pedido
231498;2019-06-20;Encarregado Técnico;2020-03-05;Pedido
232495;2019-10-02;Auxiliar de Manutenção Elétrica;2020-04-07;Demissão
231497;2019-06-20;Auxiliar de Manutenção Elétrica;2020-02-03;Pedido
232566;2019-10-08;Eletricista;2020-04-07;Demissão
231854;2019-08-01;Mecânico de Refrigeração;2020-01-08;Pedido
228996;2018-10-23;Eletricista;2020-03-06;Demissão
233305;2020-02-11;Eletricista;2020-03-23;Demissão Antec. Contrato Experiência
233151;2020-01-24;Oficial de Manutenção;2020-04-01;Demissão Antec. Contrato Experiência
231889;2019-08-01;Analista de Compras Junior;2020-01-02;Pedido
231867;2019-08-01;Oficial de Manutenção;2020-02-04;Demissão
231855;2019-08-01;Oficial de Manutenção;2020-03-06;Demissão
222423;2017-01-27;Mecânico de Refrigeração;2020-04-27;Pedido
232372;2019-09-09;Eletromecânico;2020-01-02;Pedido
233141;2020-01-23;Auxiliar de Manutenção Elétrica;2020-03-25;Demissão Antec. Contrato Experiência
231861;2019-08-01;Auxiliar de Manutenção Elétrica;2020-02-07;Demissão
233265;2020-02-06;Auxiliar de Manutenção Elétrica;2020-04-02;Demissão Antec. Contrato Experiência
233029;2020-01-06;Auxiliar de Manutenção Elétrica;2020-03-24;Demissão Antec. Contrato Experiência
231858;2019-08-01;Auxiliar de Manutenção Elétrica;2020-02-11;Demissão
231862;2019-08-01;Auxiliar de Manutenção Elétrica;2020-01-10;Demissão
231859;2019-08-01;Oficial de Manutenção;2020-01-07;Pedido
233153;2020-01-24;Mecânico de Refrigeração;2020-03-06;Demissão Antec. Contrato Experiência
231023;2019-04-26;Oficial de Manutenção;2020-02-07;Demissão
230725;2019-04-01;Líder de Manutenção;2020-04-01;Demissão
232725;2019-11-08;Oficial de Manutenção;2020-02-04;Demissão Antec. Contrato Experiência
226790;2018-04-20;Oficial de Manutenção;2020-03-10;Demissão
231732;2019-07-22;Mecânico de Refrigeração;2020-04-02;Demissão
233347;2020-02-19;Oficial de Manutenção;2020-05-15;Demissão Antec. Contrato Experiência
231817;2019-07-29;Técnico de Segurança do Trabalho;2020-02-03;Pedido
231840;2019-07-29;Auxiliar Administrativo B;2020-01-15;Demissão
232968;2019-12-16;Supervisor Técnico;2020-02-07;Demissão Antec. Contrato Experiência
233286;2020-02-10;Mecânico de Refrigeração;2020-03-18;Demissão Antec. Contrato Experiência
232720;2019-11-11;Hidráulico;2020-02-17;Demissão
232025;2019-08-08;Mecânico de Refrigeração;2020-02-18;Demissão
233666;2020-03-16;Auxiliar de Manutenção Mecânica;2020-04-20;Demissão Antec. Contrato Experiência
232165;2019-08-16;Auxiliar de Manutenção Mecânica;2020-02-12;Pedido
232126;2019-08-12;Mecânico de Refrigeração;2020-02-17;Demissão
232134;2019-08-12;Mecânico de Refrigeração;2020-02-18;Demissão
233243;2020-02-05;Eletricista;2020-02-12;Pedido antecipado do contrato experiência
233249;2020-02-05;Oficial de Manutenção;2020-03-20;Termino de Contrato
231949;2019-08-01;Oficial de Manutenção;2020-03-03;Demissão
231968;2019-08-01;Auxiliar de Manutenção Geral;2020-02-17;Demissão
232345;2019-09-03;Supervisor Técnico;2020-02-17;Demissão
233627;2020-03-10;Oficial de Manutenção;2020-04-01;Demissão Antec. Contrato Experiência
232586;2019-10-11;Oficial de Manutenção;2020-02-14;Justa Causa
230937;2019-04-16;Eletricista;2020-03-20;Demissão
232789;2019-11-21;Eletricista;2020-01-02;Pedido antecipado do contrato experiência
231872;2019-08-01;Auxiliar de Manutenção Elétrica;2020-03-25;Pedido
233115;2020-01-21;Eletricista;2020-03-24;Demissão Antec. Contrato Experiência
232753;2019-11-11;Oficial de Manutenção;2020-02-08;Termino de Contrato
224619;2017-08-28;Coordenador Técnico B;2020-05-12;Demissão
228842;2018-10-11;Hidráulico;2020-03-17;Pedido
223963;2017-07-03;Eletricista Líder;2020-03-25;Demissão
231894;2019-08-01;Oficial de Manutenção;2020-01-07;Pedido
231903;2019-08-03;Supervisor de Serviços A;2020-03-31;Pedido
233035;2020-01-06;Auxiliar Administrativo B;2020-04-01;Demissão Antec. Contrato Experiência
231927;2019-08-03;Assistente Administrativo;2020-01-03;Pedido
233163;2020-01-24;Auxiliar de Manutenção Geral;2020-05-12;Demissão
232950;2019-12-13;Fiscal Técnico;2020-01-10;Pedido antecipado do contrato experiência
232944;2019-12-13;Encarregado Técnico;2020-03-11;Termino de Contrato
232945;2019-12-13;Fiscal Técnico;2020-03-05;Demissão Antec. Contrato Experiência
233178;2020-02-04;Fiscal Técnico;2020-05-02;Demissão Antec. Contrato Experiência
233319;2020-02-13;Mecânico de Refrigeração;2020-04-06;Demissão Antec. Contrato Experiência
233682;2020-03-13;Oficial de Manutenção;2020-05-11;Demissão Antec. Contrato Experiência
233685;2020-03-13;Oficial de Manutenção;2020-05-11;Demissão Antec. Contrato Experiência
233474;2020-02-28;Supervisor Técnico;2020-05-08;Demissão Antec. Contrato Experiência
233567;2020-03-06;Eletricista;2020-05-08;Demissão Antec. Contrato Experiência
233378;2020-02-24;Supervisor Técnico;2020-03-25;Pedido antecipado do contrato experiência
233519;2020-03-03;Almoxarife;2020-04-16;Termino de Contrato
233434;2020-02-24;Mecânico de Refrigeração;2020-05-19;Justa Causa
233531;2020-03-03;Mecânico de Refrigeração;2020-04-15;Demissão Antec. Contrato Experiência
233518;2020-03-03;Mecânico de Refrigeração;2020-04-16;Termino de Contrato
233418;2020-02-24;Mecânico de Refrigeração;2020-05-23;Termino de Contrato
230291;2019-02-16;Técnico de Refrigeração;2020-05-11;Demissão
233607;2020-03-09;Auxiliar de Manutenção Elétrica;2020-03-11;Pedido antecipado do contrato experiência
233425;2020-02-24;Auxiliar de Manutenção Elétrica;2020-03-10;Pedido antecipado do contrato experiência
233501;2020-03-03;Eletricista;2020-03-06;Pedido antecipado do contrato experiência
233417;2020-02-24;Eletricista;2020-03-06;Pedido antecipado do contrato experiência
104349;2010-06-01;Hidráulico;2020-05-06;Demissão
231448;2019-06-14;Supervisor Técnico;2020-05-05;Demissão
233630;2020-03-10;Eletromecânico;2020-03-17;Pedido antecipado do contrato experiência
216277;2015-05-22;Auxiliar Administrativo A;2020-06-02;Demissão
233692;2020-03-13;Supervisor Técnico;2020-06-10;Termino de Contrato
217712;2015-12-07;Auxiliar Administrativo B;2020-06-23;Demissão
230718;2019-04-02;Técnico de Telefonia;2020-06-05;Pedido
212022;2013-12-16;Bombeiro Civil Líder;2020-06-07;Demissão
207855;2011-12-09;Bombeiro Civil Líder;2020-06-06;Demissão
103794;2009-10-08;Bombeiro Civil;2020-06-07;Demissão
220675;2016-07-20;Bombeiro Civil;2020-06-17;Demissão
216734;2015-08-14;Bombeiro Civil;2020-06-07;Demissão
218210;2016-01-25;Pintor;2020-06-05;Demissão
100376;2005-05-05;Mecânico de Refrigeração;2020-06-05;Demissão
100356;2005-05-02;Encarregado Técnico;2020-06-17;Demissão
230380;2019-03-01;Encarregado Técnico;2020-06-08;Demissão
225156;2017-10-09;Auxiliar de Manutenção Mecânica;2020-06-19;Demissão
226968;2018-05-14;Mecânico de Refrigeração;2020-06-19;Demissão
228179;2018-08-15;Ascensorista;2020-06-07;Demissão
228186;2018-08-15;Ascensorista;2020-06-05;Demissão
228190;2018-08-15;Ascensorista;2020-06-05;Demissão
228463;2018-08-20;Ascensorista;2020-06-08;Demissão
226915;2018-05-09;Eletricista;2020-06-15;Demissão
231243;2019-05-17;Eletricista;2020-06-07;Demissão
219410;2016-03-15;Pintor;2020-06-22;Demissão
226971;2018-05-14;Serralheiro;2020-06-15;Demissão
222883;2017-03-09;Pintor;2020-06-19;Demissão
229982;2019-01-21;Auxiliar de Manutenção Geral;2020-06-05;Demissão
230591;2019-03-22;Aprendiz;2020-06-21;Termino de Contrato
230190;2019-02-08;Marceneiro;2020-06-08;Demissão
231089;2019-05-06;Ascensorista;2020-06-05;Demissão
228662;2018-09-19;Ascensorista;2020-06-05;Demissão
217730;2015-12-08;Hidráulico;2020-06-08;Demissão
222882;2017-03-09;Pintor;2020-06-18;Demissão
216017;2015-04-27;Marceneiro;2020-06-05;Demissão
215466;2015-03-12;Mecânico de Refrigeração;2020-06-22;Demissão
230730;2019-04-01;Recepcionista B;2020-06-07;Demissão
230698;2019-04-01;Recepcionista B;2020-06-15;Demissão
231328;2019-05-27;Operador de Central;2020-06-09;Pedido
225885;2018-01-03;Hidráulico Industrial;2020-06-05;Demissão
219820;2016-04-13;Pedreiro;2020-06-08;Demissão
229284;2018-11-14;Auxiliar de Manutenção Geral;2020-06-05;Demissão
232673;2019-11-04;Técnico em Automação;2020-06-23;Demissão
105806;2011-04-01;Eletricista;2020-06-12;Demissão
223248;2017-04-17;Eletricista;2020-06-05;Demissão
214858;2014-12-01;Assistente Administrativo;2020-06-30;Demissão
221999;2016-12-12;Encarregado de Serviços B;2020-06-05;Demissão
213933;2014-08-13;Operador de Central;2020-06-08;Demissão
229160;2018-11-08;Auxiliar de Manutenção Mecânica;2020-06-15;Demissão
211714;2013-11-11;Eletricista;2020-06-17;Demissão
218359;2016-01-21;Auxiliar de Manutenção Geral;2020-06-16;Demissão
230531;2019-03-15;Auxiliar de Manutenção Geral;2020-06-08;Demissão
216890;2015-09-02;Marceneiro;2020-06-15;Demissão
233601;2020-03-06;Auxiliar de Manutenção Geral;2020-06-15;Demissão
212447;2014-03-01;Operador de Central;2020-06-08;Demissão
231567;2019-07-03;Eletricista;2020-06-22;Demissão
228549;2018-09-03;Eletricista;2020-06-15;Demissão
226428;2018-03-02;Oficial de Manutenção;2020-06-15;Demissão
230862;2019-04-10;Oficial de Manutenção;2020-06-15;Demissão
220628;2016-07-14;Hidráulico;2020-06-08;Demissão
229285;2018-11-14;Oficial de Manutenção;2020-06-08;Demissão
231656;2019-07-11;Eletricista;2020-06-07;Demissão
230985;2019-04-22;Auxiliar Administrativo A;2020-06-05;Demissão
230045;2019-01-23;Gerente de Unidade;2020-06-06;Demissão
231006;2019-04-24;Oficial de Manutenção;2020-06-05;Demissão
231007;2019-04-24;Oficial de Manutenção;2020-06-05;Demissão
222027;2016-12-12;Assistente de Manutenção;2020-06-05;Demissão
226022;2018-01-23;Oficial de Manutenção;2020-06-05;Demissão
230765;2019-04-03;Auxiliar de Manutenção Geral;2020-06-05;Demissão
216359;2015-06-02;Encarregado Técnico;2020-06-12;Demissão
231809;2019-07-29;Auxiliar de Manutenção Geral;2020-06-11;Demissão
231181;2019-05-15;Mecânico de Refrigeração;2020-06-11;Demissão
215667;2015-04-01;Auxiliar Administrativo B;2020-06-12;Demissão
228198;2018-08-13;Bombeiro Civil;2020-06-19;Demissão
233612;2020-03-09;Eletricista;2020-06-19;Demissão
213673;2014-07-31;Hidráulico;2020-06-19;Demissão
231013;2019-04-25;1/2 Oficial de Manutenção;2020-06-19;Demissão
233602;2020-03-09;Oficial de Manutenção;2020-06-19;Demissão
233701;2020-03-16;Auxiliar Administrativo B;2020-06-10;Demissão Antec. Contrato Experiência
221231;2016-10-02;Bombeiro Civil;2020-06-19;Demissão
226696;2018-04-06;Eletricista;2020-06-19;Demissão
232627;2019-10-22;Eletricista;2020-06-19;Demissão
233716;2020-03-16;1/2 Oficial de Manutenção;2020-06-10;Demissão Antec. Contrato Experiência
233535;2020-03-03;1/2 Oficial de Manutenção;2020-06-19;Demissão
225577;2017-11-20;1/2 Oficial de Manutenção;2020-06-19;Demissão
233611;2020-03-09;Oficial de Manutenção;2020-06-05;Demissão Antec. Contrato Experiência
231306;2019-05-27;Oficial de Manutenção;2020-06-08;Demissão
223837;2017-06-07;Bombeiro Civil;2020-06-12;Pedido
215602;2015-03-23;Hidráulico;2020-06-08;Demissão
215797;2015-04-03;Oficial de Manutenção;2020-06-08;Demissão
226711;2018-04-09;Eletricista;2020-06-15;Demissão
226886;2018-05-07;Oficial de Manutenção;2020-06-01;Pedido
216127;2015-05-02;Operador de Empilhadeira;2020-06-15;Demissão
226518;2018-03-12;Mecânico de Refrigeração;2020-06-05;Demissão
216175;2015-05-07;Hidráulico;2020-06-08;Demissão
214208;2014-09-15;Pedreiro;2020-06-08;Demissão
